addfriend_dz(uid=305512, domain=dom)
addfriend_dz(uid=305450, domain=dom)
addfriend_dz(uid=305449, domain=dom)
addfriend_dz(uid=305448, domain=dom)
addfriend_dz(uid=305447, domain=dom)
addfriend_dz(uid=305446, domain=dom)
addfriend_dz(uid=305445, domain=dom)
addfriend_dz(uid=305444, domain=dom)
addfriend_dz(uid=305443, domain=dom)
addfriend_dz(uid=305442, domain=dom)
addfriend_dz(uid=305441, domain=dom)
addfriend_dz(uid=305440, domain=dom)
addfriend_dz(uid=305439, domain=dom)
addfriend_dz(uid=305438, domain=dom)
addfriend_dz(uid=305437, domain=dom)
addfriend_dz(uid=305436, domain=dom)
addfriend_dz(uid=305435, domain=dom)
addfriend_dz(uid=305434, domain=dom)
addfriend_dz(uid=305433, domain=dom)
addfriend_dz(uid=305432, domain=dom)
addfriend_dz(uid=305431, domain=dom)
addfriend_dz(uid=305430, domain=dom)
addfriend_dz(uid=305429, domain=dom)
addfriend_dz(uid=305428, domain=dom)
addfriend_dz(uid=305427, domain=dom)
addfriend_dz(uid=305426, domain=dom)
addfriend_dz(uid=305425, domain=dom)
addfriend_dz(uid=305424, domain=dom)
addfriend_dz(uid=305423, domain=dom)
addfriend_dz(uid=305422, domain=dom)
addfriend_dz(uid=305421, domain=dom)
addfriend_dz(uid=305420, domain=dom)
addfriend_dz(uid=305419, domain=dom)
addfriend_dz(uid=305418, domain=dom)
addfriend_dz(uid=305417, domain=dom)
addfriend_dz(uid=305416, domain=dom)
addfriend_dz(uid=305415, domain=dom)
addfriend_dz(uid=305414, domain=dom)
addfriend_dz(uid=305413, domain=dom)
addfriend_dz(uid=305412, domain=dom)
addfriend_dz(uid=305411, domain=dom)
addfriend_dz(uid=305410, domain=dom)
addfriend_dz(uid=305409, domain=dom)
addfriend_dz(uid=305408, domain=dom)
addfriend_dz(uid=305407, domain=dom)
addfriend_dz(uid=305406, domain=dom)
addfriend_dz(uid=305405, domain=dom)
addfriend_dz(uid=305404, domain=dom)
addfriend_dz(uid=305403, domain=dom)
addfriend_dz(uid=305402, domain=dom)
addfriend_dz(uid=305401, domain=dom)
addfriend_dz(uid=305400, domain=dom)
addfriend_dz(uid=305399, domain=dom)
addfriend_dz(uid=305398, domain=dom)
addfriend_dz(uid=305397, domain=dom)
addfriend_dz(uid=305396, domain=dom)
addfriend_dz(uid=305395, domain=dom)
addfriend_dz(uid=305394, domain=dom)
addfriend_dz(uid=305393, domain=dom)
addfriend_dz(uid=305392, domain=dom)
addfriend_dz(uid=305391, domain=dom)
addfriend_dz(uid=305390, domain=dom)
addfriend_dz(uid=305389, domain=dom)
addfriend_dz(uid=305388, domain=dom)
addfriend_dz(uid=305387, domain=dom)
addfriend_dz(uid=305386, domain=dom)
addfriend_dz(uid=305385, domain=dom)
addfriend_dz(uid=305384, domain=dom)
addfriend_dz(uid=305383, domain=dom)
addfriend_dz(uid=305382, domain=dom)
addfriend_dz(uid=305381, domain=dom)
addfriend_dz(uid=305380, domain=dom)
addfriend_dz(uid=305379, domain=dom)
addfriend_dz(uid=305378, domain=dom)
addfriend_dz(uid=305377, domain=dom)
addfriend_dz(uid=305376, domain=dom)
addfriend_dz(uid=305375, domain=dom)
addfriend_dz(uid=305374, domain=dom)
addfriend_dz(uid=305373, domain=dom)
addfriend_dz(uid=305372, domain=dom)
addfriend_dz(uid=305371, domain=dom)
addfriend_dz(uid=305370, domain=dom)
addfriend_dz(uid=305369, domain=dom)
addfriend_dz(uid=305368, domain=dom)
addfriend_dz(uid=305367, domain=dom)
addfriend_dz(uid=305366, domain=dom)
addfriend_dz(uid=305365, domain=dom)
addfriend_dz(uid=305364, domain=dom)
addfriend_dz(uid=305363, domain=dom)
addfriend_dz(uid=305362, domain=dom)
addfriend_dz(uid=305361, domain=dom)
addfriend_dz(uid=305360, domain=dom)
addfriend_dz(uid=305359, domain=dom)
addfriend_dz(uid=305358, domain=dom)
addfriend_dz(uid=305357, domain=dom)
addfriend_dz(uid=305356, domain=dom)
addfriend_dz(uid=305355, domain=dom)
addfriend_dz(uid=305354, domain=dom)
addfriend_dz(uid=305353, domain=dom)
addfriend_dz(uid=305352, domain=dom)
addfriend_dz(uid=305351, domain=dom)
addfriend_dz(uid=305350, domain=dom)
addfriend_dz(uid=305349, domain=dom)
addfriend_dz(uid=305348, domain=dom)
addfriend_dz(uid=305347, domain=dom)
addfriend_dz(uid=305346, domain=dom)
addfriend_dz(uid=305345, domain=dom)
addfriend_dz(uid=305344, domain=dom)
addfriend_dz(uid=305343, domain=dom)
addfriend_dz(uid=305342, domain=dom)
addfriend_dz(uid=305341, domain=dom)
addfriend_dz(uid=305340, domain=dom)
addfriend_dz(uid=305339, domain=dom)
addfriend_dz(uid=305338, domain=dom)
addfriend_dz(uid=305337, domain=dom)
addfriend_dz(uid=305336, domain=dom)
addfriend_dz(uid=305335, domain=dom)
addfriend_dz(uid=305334, domain=dom)
addfriend_dz(uid=305333, domain=dom)
addfriend_dz(uid=305332, domain=dom)
addfriend_dz(uid=305331, domain=dom)
addfriend_dz(uid=305330, domain=dom)
addfriend_dz(uid=305329, domain=dom)
addfriend_dz(uid=305328, domain=dom)
addfriend_dz(uid=305327, domain=dom)
addfriend_dz(uid=305326, domain=dom)
addfriend_dz(uid=305325, domain=dom)
addfriend_dz(uid=305324, domain=dom)
addfriend_dz(uid=305323, domain=dom)
addfriend_dz(uid=305322, domain=dom)
addfriend_dz(uid=305321, domain=dom)
addfriend_dz(uid=305320, domain=dom)
addfriend_dz(uid=305319, domain=dom)
addfriend_dz(uid=305318, domain=dom)
addfriend_dz(uid=305317, domain=dom)
addfriend_dz(uid=305316, domain=dom)
addfriend_dz(uid=305315, domain=dom)
addfriend_dz(uid=305314, domain=dom)
addfriend_dz(uid=305313, domain=dom)
addfriend_dz(uid=305312, domain=dom)
addfriend_dz(uid=305311, domain=dom)
addfriend_dz(uid=305310, domain=dom)
addfriend_dz(uid=305309, domain=dom)
addfriend_dz(uid=305308, domain=dom)
addfriend_dz(uid=305307, domain=dom)
addfriend_dz(uid=305306, domain=dom)
addfriend_dz(uid=305305, domain=dom)
addfriend_dz(uid=305304, domain=dom)
addfriend_dz(uid=305303, domain=dom)
addfriend_dz(uid=305302, domain=dom)
addfriend_dz(uid=305301, domain=dom)
addfriend_dz(uid=305300, domain=dom)
addfriend_dz(uid=305299, domain=dom)
addfriend_dz(uid=305298, domain=dom)
addfriend_dz(uid=305297, domain=dom)
addfriend_dz(uid=305296, domain=dom)
addfriend_dz(uid=305295, domain=dom)
addfriend_dz(uid=305294, domain=dom)
addfriend_dz(uid=305293, domain=dom)
addfriend_dz(uid=305292, domain=dom)
addfriend_dz(uid=305291, domain=dom)
addfriend_dz(uid=305290, domain=dom)
addfriend_dz(uid=305289, domain=dom)
addfriend_dz(uid=305288, domain=dom)
addfriend_dz(uid=305287, domain=dom)
addfriend_dz(uid=305286, domain=dom)
addfriend_dz(uid=305285, domain=dom)
addfriend_dz(uid=305284, domain=dom)
addfriend_dz(uid=305283, domain=dom)
addfriend_dz(uid=305282, domain=dom)
addfriend_dz(uid=305281, domain=dom)
addfriend_dz(uid=305280, domain=dom)
addfriend_dz(uid=305279, domain=dom)
addfriend_dz(uid=305278, domain=dom)
addfriend_dz(uid=305277, domain=dom)
addfriend_dz(uid=305276, domain=dom)
addfriend_dz(uid=305275, domain=dom)
addfriend_dz(uid=305274, domain=dom)
addfriend_dz(uid=305273, domain=dom)
addfriend_dz(uid=305272, domain=dom)
addfriend_dz(uid=305271, domain=dom)
addfriend_dz(uid=305270, domain=dom)
addfriend_dz(uid=305269, domain=dom)
addfriend_dz(uid=305268, domain=dom)
addfriend_dz(uid=305267, domain=dom)
addfriend_dz(uid=305266, domain=dom)
addfriend_dz(uid=305265, domain=dom)
addfriend_dz(uid=305264, domain=dom)
addfriend_dz(uid=305263, domain=dom)
addfriend_dz(uid=305262, domain=dom)
addfriend_dz(uid=305261, domain=dom)
addfriend_dz(uid=305260, domain=dom)
addfriend_dz(uid=305259, domain=dom)
addfriend_dz(uid=305258, domain=dom)
addfriend_dz(uid=305257, domain=dom)
addfriend_dz(uid=305256, domain=dom)
addfriend_dz(uid=305255, domain=dom)
addfriend_dz(uid=305254, domain=dom)
addfriend_dz(uid=305253, domain=dom)
addfriend_dz(uid=305252, domain=dom)
addfriend_dz(uid=305251, domain=dom)
addfriend_dz(uid=305250, domain=dom)
addfriend_dz(uid=305249, domain=dom)
addfriend_dz(uid=305248, domain=dom)
addfriend_dz(uid=305247, domain=dom)
addfriend_dz(uid=305246, domain=dom)
addfriend_dz(uid=305245, domain=dom)
addfriend_dz(uid=305244, domain=dom)
addfriend_dz(uid=305243, domain=dom)
addfriend_dz(uid=305242, domain=dom)
addfriend_dz(uid=305241, domain=dom)
addfriend_dz(uid=305240, domain=dom)
addfriend_dz(uid=305239, domain=dom)
addfriend_dz(uid=305238, domain=dom)
addfriend_dz(uid=305237, domain=dom)
addfriend_dz(uid=305236, domain=dom)
addfriend_dz(uid=305235, domain=dom)
addfriend_dz(uid=305234, domain=dom)
addfriend_dz(uid=305233, domain=dom)
addfriend_dz(uid=305232, domain=dom)
addfriend_dz(uid=305231, domain=dom)
addfriend_dz(uid=305230, domain=dom)
addfriend_dz(uid=305229, domain=dom)
addfriend_dz(uid=305228, domain=dom)
addfriend_dz(uid=305227, domain=dom)
addfriend_dz(uid=305226, domain=dom)
addfriend_dz(uid=305225, domain=dom)
addfriend_dz(uid=305224, domain=dom)
addfriend_dz(uid=305223, domain=dom)
addfriend_dz(uid=305222, domain=dom)
addfriend_dz(uid=305221, domain=dom)
addfriend_dz(uid=305220, domain=dom)
addfriend_dz(uid=305219, domain=dom)
addfriend_dz(uid=305218, domain=dom)
addfriend_dz(uid=305217, domain=dom)
addfriend_dz(uid=305216, domain=dom)
addfriend_dz(uid=305215, domain=dom)
addfriend_dz(uid=305214, domain=dom)
addfriend_dz(uid=305213, domain=dom)
addfriend_dz(uid=305212, domain=dom)
addfriend_dz(uid=305211, domain=dom)
addfriend_dz(uid=305210, domain=dom)
addfriend_dz(uid=305209, domain=dom)
addfriend_dz(uid=305208, domain=dom)
addfriend_dz(uid=305207, domain=dom)
addfriend_dz(uid=305206, domain=dom)
addfriend_dz(uid=305205, domain=dom)
addfriend_dz(uid=305204, domain=dom)
addfriend_dz(uid=305203, domain=dom)
addfriend_dz(uid=305202, domain=dom)
addfriend_dz(uid=305201, domain=dom)
addfriend_dz(uid=305200, domain=dom)
addfriend_dz(uid=305199, domain=dom)
addfriend_dz(uid=305198, domain=dom)
addfriend_dz(uid=305197, domain=dom)
addfriend_dz(uid=305196, domain=dom)
addfriend_dz(uid=305195, domain=dom)
addfriend_dz(uid=305194, domain=dom)
addfriend_dz(uid=305193, domain=dom)
addfriend_dz(uid=305192, domain=dom)
addfriend_dz(uid=305191, domain=dom)
addfriend_dz(uid=305190, domain=dom)
addfriend_dz(uid=305189, domain=dom)
addfriend_dz(uid=305188, domain=dom)
addfriend_dz(uid=305187, domain=dom)
addfriend_dz(uid=305186, domain=dom)
addfriend_dz(uid=305185, domain=dom)
addfriend_dz(uid=305184, domain=dom)
addfriend_dz(uid=305183, domain=dom)
addfriend_dz(uid=305182, domain=dom)
addfriend_dz(uid=305181, domain=dom)
addfriend_dz(uid=305180, domain=dom)
addfriend_dz(uid=305179, domain=dom)
addfriend_dz(uid=305178, domain=dom)
addfriend_dz(uid=305177, domain=dom)
addfriend_dz(uid=305176, domain=dom)
addfriend_dz(uid=305175, domain=dom)
addfriend_dz(uid=305174, domain=dom)
addfriend_dz(uid=305173, domain=dom)
addfriend_dz(uid=305172, domain=dom)
addfriend_dz(uid=305171, domain=dom)
addfriend_dz(uid=305170, domain=dom)
addfriend_dz(uid=305169, domain=dom)
addfriend_dz(uid=305168, domain=dom)
addfriend_dz(uid=305167, domain=dom)
addfriend_dz(uid=305166, domain=dom)
addfriend_dz(uid=305165, domain=dom)
addfriend_dz(uid=305164, domain=dom)
addfriend_dz(uid=305163, domain=dom)
addfriend_dz(uid=305162, domain=dom)
addfriend_dz(uid=305161, domain=dom)
addfriend_dz(uid=305160, domain=dom)
addfriend_dz(uid=305159, domain=dom)
addfriend_dz(uid=305158, domain=dom)
addfriend_dz(uid=305157, domain=dom)
addfriend_dz(uid=305156, domain=dom)
addfriend_dz(uid=305155, domain=dom)
addfriend_dz(uid=305154, domain=dom)
addfriend_dz(uid=305153, domain=dom)
addfriend_dz(uid=305152, domain=dom)
addfriend_dz(uid=305151, domain=dom)
addfriend_dz(uid=305150, domain=dom)
addfriend_dz(uid=305149, domain=dom)
addfriend_dz(uid=305148, domain=dom)
addfriend_dz(uid=305147, domain=dom)
addfriend_dz(uid=305146, domain=dom)
addfriend_dz(uid=305145, domain=dom)
addfriend_dz(uid=305144, domain=dom)
addfriend_dz(uid=305143, domain=dom)
addfriend_dz(uid=305142, domain=dom)
addfriend_dz(uid=305141, domain=dom)
addfriend_dz(uid=305140, domain=dom)
addfriend_dz(uid=305139, domain=dom)
addfriend_dz(uid=305138, domain=dom)
addfriend_dz(uid=305137, domain=dom)
addfriend_dz(uid=305136, domain=dom)
addfriend_dz(uid=305135, domain=dom)
addfriend_dz(uid=305134, domain=dom)
addfriend_dz(uid=305133, domain=dom)
addfriend_dz(uid=305132, domain=dom)
addfriend_dz(uid=305131, domain=dom)
addfriend_dz(uid=305130, domain=dom)
addfriend_dz(uid=305129, domain=dom)
addfriend_dz(uid=305128, domain=dom)
addfriend_dz(uid=305127, domain=dom)
addfriend_dz(uid=305126, domain=dom)
addfriend_dz(uid=305125, domain=dom)
addfriend_dz(uid=305124, domain=dom)
addfriend_dz(uid=305123, domain=dom)
addfriend_dz(uid=305122, domain=dom)
addfriend_dz(uid=305121, domain=dom)
addfriend_dz(uid=305120, domain=dom)
addfriend_dz(uid=305119, domain=dom)
addfriend_dz(uid=305118, domain=dom)
addfriend_dz(uid=305117, domain=dom)
addfriend_dz(uid=305116, domain=dom)
addfriend_dz(uid=305115, domain=dom)
addfriend_dz(uid=305114, domain=dom)
addfriend_dz(uid=305113, domain=dom)
addfriend_dz(uid=305112, domain=dom)
addfriend_dz(uid=305111, domain=dom)
addfriend_dz(uid=305110, domain=dom)
addfriend_dz(uid=305109, domain=dom)
addfriend_dz(uid=305108, domain=dom)
addfriend_dz(uid=305107, domain=dom)
addfriend_dz(uid=305106, domain=dom)
addfriend_dz(uid=305105, domain=dom)
addfriend_dz(uid=305104, domain=dom)
addfriend_dz(uid=305103, domain=dom)
addfriend_dz(uid=305102, domain=dom)
addfriend_dz(uid=305101, domain=dom)
addfriend_dz(uid=305100, domain=dom)
addfriend_dz(uid=305099, domain=dom)
addfriend_dz(uid=305098, domain=dom)
addfriend_dz(uid=305097, domain=dom)
addfriend_dz(uid=305096, domain=dom)
addfriend_dz(uid=305095, domain=dom)
addfriend_dz(uid=305094, domain=dom)
addfriend_dz(uid=305093, domain=dom)
addfriend_dz(uid=305092, domain=dom)
addfriend_dz(uid=305091, domain=dom)
addfriend_dz(uid=305090, domain=dom)
addfriend_dz(uid=305089, domain=dom)
addfriend_dz(uid=305088, domain=dom)
addfriend_dz(uid=305087, domain=dom)
addfriend_dz(uid=305086, domain=dom)
addfriend_dz(uid=305085, domain=dom)
addfriend_dz(uid=305084, domain=dom)
addfriend_dz(uid=305083, domain=dom)
addfriend_dz(uid=305082, domain=dom)
addfriend_dz(uid=305081, domain=dom)
addfriend_dz(uid=305080, domain=dom)
addfriend_dz(uid=305079, domain=dom)
addfriend_dz(uid=305078, domain=dom)
addfriend_dz(uid=305077, domain=dom)
addfriend_dz(uid=305076, domain=dom)
addfriend_dz(uid=305075, domain=dom)
addfriend_dz(uid=305074, domain=dom)
addfriend_dz(uid=305073, domain=dom)
addfriend_dz(uid=305072, domain=dom)
addfriend_dz(uid=305071, domain=dom)
addfriend_dz(uid=305070, domain=dom)
addfriend_dz(uid=305069, domain=dom)
addfriend_dz(uid=305068, domain=dom)
addfriend_dz(uid=305067, domain=dom)
addfriend_dz(uid=305066, domain=dom)
addfriend_dz(uid=305065, domain=dom)
addfriend_dz(uid=305064, domain=dom)
addfriend_dz(uid=305063, domain=dom)
addfriend_dz(uid=305062, domain=dom)
addfriend_dz(uid=305061, domain=dom)
addfriend_dz(uid=305060, domain=dom)
addfriend_dz(uid=305059, domain=dom)
addfriend_dz(uid=305058, domain=dom)
addfriend_dz(uid=305057, domain=dom)
addfriend_dz(uid=305056, domain=dom)
addfriend_dz(uid=305055, domain=dom)
addfriend_dz(uid=305054, domain=dom)
addfriend_dz(uid=305053, domain=dom)
addfriend_dz(uid=305052, domain=dom)
addfriend_dz(uid=305051, domain=dom)
addfriend_dz(uid=305050, domain=dom)
addfriend_dz(uid=305049, domain=dom)
addfriend_dz(uid=305048, domain=dom)
addfriend_dz(uid=305047, domain=dom)
addfriend_dz(uid=305046, domain=dom)
addfriend_dz(uid=305045, domain=dom)
addfriend_dz(uid=305044, domain=dom)
addfriend_dz(uid=305043, domain=dom)
addfriend_dz(uid=305042, domain=dom)
addfriend_dz(uid=305041, domain=dom)
addfriend_dz(uid=305040, domain=dom)
addfriend_dz(uid=305039, domain=dom)
addfriend_dz(uid=305038, domain=dom)
addfriend_dz(uid=305037, domain=dom)
addfriend_dz(uid=305036, domain=dom)
addfriend_dz(uid=305035, domain=dom)
addfriend_dz(uid=305034, domain=dom)
addfriend_dz(uid=305033, domain=dom)
addfriend_dz(uid=305032, domain=dom)
addfriend_dz(uid=305031, domain=dom)
addfriend_dz(uid=305030, domain=dom)
addfriend_dz(uid=305029, domain=dom)
addfriend_dz(uid=305028, domain=dom)
addfriend_dz(uid=305027, domain=dom)
addfriend_dz(uid=305026, domain=dom)
addfriend_dz(uid=305025, domain=dom)
addfriend_dz(uid=305024, domain=dom)
addfriend_dz(uid=305023, domain=dom)
addfriend_dz(uid=305022, domain=dom)
addfriend_dz(uid=305021, domain=dom)
addfriend_dz(uid=305020, domain=dom)
addfriend_dz(uid=305019, domain=dom)
addfriend_dz(uid=305018, domain=dom)
addfriend_dz(uid=305017, domain=dom)
addfriend_dz(uid=305016, domain=dom)
addfriend_dz(uid=305015, domain=dom)
addfriend_dz(uid=305014, domain=dom)
addfriend_dz(uid=305013, domain=dom)
addfriend_dz(uid=305012, domain=dom)
addfriend_dz(uid=305011, domain=dom)
addfriend_dz(uid=305010, domain=dom)
addfriend_dz(uid=305009, domain=dom)
addfriend_dz(uid=305008, domain=dom)
addfriend_dz(uid=305007, domain=dom)
addfriend_dz(uid=305006, domain=dom)
addfriend_dz(uid=305005, domain=dom)
addfriend_dz(uid=305004, domain=dom)
addfriend_dz(uid=305003, domain=dom)
addfriend_dz(uid=305002, domain=dom)
addfriend_dz(uid=305001, domain=dom)
addfriend_dz(uid=305000, domain=dom)
addfriend_dz(uid=304999, domain=dom)
addfriend_dz(uid=304998, domain=dom)
addfriend_dz(uid=304997, domain=dom)
addfriend_dz(uid=304996, domain=dom)
addfriend_dz(uid=304995, domain=dom)
addfriend_dz(uid=304994, domain=dom)
addfriend_dz(uid=304993, domain=dom)
addfriend_dz(uid=304992, domain=dom)
addfriend_dz(uid=304991, domain=dom)
addfriend_dz(uid=304990, domain=dom)
addfriend_dz(uid=304989, domain=dom)
addfriend_dz(uid=304988, domain=dom)
addfriend_dz(uid=304987, domain=dom)
addfriend_dz(uid=304986, domain=dom)
addfriend_dz(uid=304985, domain=dom)
addfriend_dz(uid=304984, domain=dom)
addfriend_dz(uid=304983, domain=dom)
addfriend_dz(uid=304982, domain=dom)
addfriend_dz(uid=304981, domain=dom)
addfriend_dz(uid=304980, domain=dom)
addfriend_dz(uid=304979, domain=dom)
addfriend_dz(uid=304978, domain=dom)
addfriend_dz(uid=304977, domain=dom)
addfriend_dz(uid=304976, domain=dom)
addfriend_dz(uid=304975, domain=dom)
addfriend_dz(uid=304974, domain=dom)
addfriend_dz(uid=304973, domain=dom)
addfriend_dz(uid=304972, domain=dom)
addfriend_dz(uid=304971, domain=dom)
addfriend_dz(uid=304970, domain=dom)
addfriend_dz(uid=304969, domain=dom)
addfriend_dz(uid=304968, domain=dom)
addfriend_dz(uid=304967, domain=dom)
addfriend_dz(uid=304966, domain=dom)
addfriend_dz(uid=304965, domain=dom)
addfriend_dz(uid=304964, domain=dom)
addfriend_dz(uid=304963, domain=dom)
addfriend_dz(uid=304962, domain=dom)
addfriend_dz(uid=304961, domain=dom)
addfriend_dz(uid=304960, domain=dom)
addfriend_dz(uid=304959, domain=dom)
addfriend_dz(uid=304958, domain=dom)
addfriend_dz(uid=304957, domain=dom)
addfriend_dz(uid=304956, domain=dom)
addfriend_dz(uid=304955, domain=dom)
addfriend_dz(uid=304954, domain=dom)
addfriend_dz(uid=304953, domain=dom)
addfriend_dz(uid=304952, domain=dom)
addfriend_dz(uid=304951, domain=dom)
addfriend_dz(uid=304950, domain=dom)
addfriend_dz(uid=304949, domain=dom)
addfriend_dz(uid=304948, domain=dom)
addfriend_dz(uid=304947, domain=dom)
addfriend_dz(uid=304946, domain=dom)
addfriend_dz(uid=304945, domain=dom)
addfriend_dz(uid=304944, domain=dom)
addfriend_dz(uid=304943, domain=dom)
addfriend_dz(uid=304942, domain=dom)
addfriend_dz(uid=304941, domain=dom)
addfriend_dz(uid=304940, domain=dom)
addfriend_dz(uid=304939, domain=dom)
addfriend_dz(uid=304938, domain=dom)
addfriend_dz(uid=304937, domain=dom)
addfriend_dz(uid=304936, domain=dom)
addfriend_dz(uid=304935, domain=dom)
addfriend_dz(uid=304934, domain=dom)
addfriend_dz(uid=304933, domain=dom)
addfriend_dz(uid=304932, domain=dom)
addfriend_dz(uid=304931, domain=dom)
addfriend_dz(uid=304930, domain=dom)
addfriend_dz(uid=304929, domain=dom)
addfriend_dz(uid=304928, domain=dom)
addfriend_dz(uid=304927, domain=dom)
addfriend_dz(uid=304926, domain=dom)
addfriend_dz(uid=304925, domain=dom)
addfriend_dz(uid=304924, domain=dom)
addfriend_dz(uid=304923, domain=dom)
addfriend_dz(uid=304922, domain=dom)
addfriend_dz(uid=304921, domain=dom)
addfriend_dz(uid=304920, domain=dom)
addfriend_dz(uid=304919, domain=dom)
addfriend_dz(uid=304918, domain=dom)
addfriend_dz(uid=304917, domain=dom)
addfriend_dz(uid=304916, domain=dom)
addfriend_dz(uid=304915, domain=dom)
addfriend_dz(uid=304914, domain=dom)
addfriend_dz(uid=304913, domain=dom)
addfriend_dz(uid=304912, domain=dom)
addfriend_dz(uid=304911, domain=dom)
addfriend_dz(uid=304910, domain=dom)
addfriend_dz(uid=304909, domain=dom)
addfriend_dz(uid=304908, domain=dom)
addfriend_dz(uid=304907, domain=dom)
addfriend_dz(uid=304906, domain=dom)
addfriend_dz(uid=304905, domain=dom)
addfriend_dz(uid=304904, domain=dom)
addfriend_dz(uid=304903, domain=dom)
addfriend_dz(uid=304902, domain=dom)
addfriend_dz(uid=304901, domain=dom)
addfriend_dz(uid=304900, domain=dom)
addfriend_dz(uid=304899, domain=dom)
addfriend_dz(uid=304898, domain=dom)
addfriend_dz(uid=304897, domain=dom)
addfriend_dz(uid=304896, domain=dom)
addfriend_dz(uid=304895, domain=dom)
addfriend_dz(uid=304894, domain=dom)
addfriend_dz(uid=304893, domain=dom)
addfriend_dz(uid=304892, domain=dom)
addfriend_dz(uid=304891, domain=dom)
addfriend_dz(uid=304890, domain=dom)
addfriend_dz(uid=304889, domain=dom)
addfriend_dz(uid=304888, domain=dom)
addfriend_dz(uid=304887, domain=dom)
addfriend_dz(uid=304886, domain=dom)
addfriend_dz(uid=304885, domain=dom)
addfriend_dz(uid=304884, domain=dom)
addfriend_dz(uid=304883, domain=dom)
addfriend_dz(uid=304882, domain=dom)
addfriend_dz(uid=304881, domain=dom)
addfriend_dz(uid=304880, domain=dom)
addfriend_dz(uid=304879, domain=dom)
addfriend_dz(uid=304878, domain=dom)
addfriend_dz(uid=304877, domain=dom)
addfriend_dz(uid=304876, domain=dom)
addfriend_dz(uid=304875, domain=dom)
addfriend_dz(uid=304874, domain=dom)
addfriend_dz(uid=304873, domain=dom)
addfriend_dz(uid=304872, domain=dom)
addfriend_dz(uid=304871, domain=dom)
addfriend_dz(uid=304870, domain=dom)
addfriend_dz(uid=304869, domain=dom)
addfriend_dz(uid=304868, domain=dom)
addfriend_dz(uid=304867, domain=dom)
addfriend_dz(uid=304866, domain=dom)
addfriend_dz(uid=304865, domain=dom)
addfriend_dz(uid=304864, domain=dom)
addfriend_dz(uid=304863, domain=dom)
addfriend_dz(uid=304862, domain=dom)
addfriend_dz(uid=304861, domain=dom)
addfriend_dz(uid=304860, domain=dom)
addfriend_dz(uid=304859, domain=dom)
addfriend_dz(uid=304858, domain=dom)
addfriend_dz(uid=304857, domain=dom)
addfriend_dz(uid=304856, domain=dom)
addfriend_dz(uid=304855, domain=dom)
addfriend_dz(uid=304854, domain=dom)
addfriend_dz(uid=304853, domain=dom)
addfriend_dz(uid=304852, domain=dom)
addfriend_dz(uid=304851, domain=dom)
addfriend_dz(uid=304850, domain=dom)
addfriend_dz(uid=304849, domain=dom)
addfriend_dz(uid=304848, domain=dom)
